time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-07-19 12:25:08.828 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , ,1, , , ,3159893,1377,1,744,744,1, ,2,4,1427,24986124088,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1658233508516,,, , , , , , , , , ,3145728,1377,3,3,1,3, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , ,3,244,11,165,270293504,3, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-07-19 12:25:09.057 UTC, , , , , , , , , ,125,3164453,18600, , ,4, ,15, , , , , , , , , ,4,4, , , , ,1,5, ,1, , , , , , , , , ,1, , , ,3164453,1377,1,744,744, , , , ,1427,24986124088,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1658233508516,,, , , , , , , , , ,3145728,2414,4,4,1,4, , , ,9,9,2,9, ,3,9, , , , , , , , , , ,4096,2,1014,9, , , , , , ,1,31,87868872,3, , , , , , ,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, ,8,4,1, , , , , , , , , , 
2022-07-19 12:25:09.151 UTC, , , , , , , , , ,125,3160589,14736, , ,3,1,25,3,0.12, , , , , , , ,3,3, ,2,1,2,1,4, ,23,12, , , , , , , , ,1, , , ,3160589,3783,2, ,2511, , , , ,3830,24986111800,39,39,39,39, , , , , ,1,48, , , , , , , , , , , , , , , , , , , , , , , , , ,3830,1658233509101,,, , , , , , , , , ,3145728,3783, , , , , , ,21, , ,2, , ,3, , ,21, ,2048,1, , , , , ,103085,32, , , , , , ,3,244,12,196,100822336,3, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-07-19 12:25:38.270 UTC, , , , , , , , , ,125,3309365,163512, , ,37,1,5222,37,0.01, , , , , , , ,37,8, ,2553,1,12,35,8, ,2667,16, , , , , , , , ,1, , , ,3309365,242541,3,208922,208922,1,17,17,25,242596,24985919288,27,27,27,27, , , , , ,26,2699, , , , , , , , , , , , , , , , , , , , , , , , , ,242596,1658233537638,,, , , , , , , , , ,3145728,242541,20,20,10,20, , ,60,1,1,4,1, ,3,2, ,60, ,2048,1, , , , , ,2243408,325,33745,1, , , , ,3,235,11,130,272802856,2, , , , , , ,2668, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-07-19 12:25:38.472 UTC, , , , , , , , , ,125,3309365,163512, , ,37, ,11, , , , , , , , , ,37,8, , , ,12,34,8, ,4,2, , , , , , , , ,1, , , ,3309365,242541,3,208922,208922, , , , ,242596,24985919288,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,242596,1658233537638,,, , , , , , , , , ,3145728,242541, , , , , , ,2, , ,1, , ,3, , ,2,1, , , , , , , ,2176,3, , , , , , , , ,1,27,80493216,2, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,8, , , , , , , , , , , 
2022-07-19 12:25:38.575 UTC, , , , , , , , , ,125,3164981,19128, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,28,18, , , , , , , , ,1, , , ,3164981,242971,4, ,242666, , , , ,243023,24985915192,27,27,27,27, , , , , ,30,2754, , , , , , , , , , , , , , , , , , , , , , , , , ,243023,1658233538518,,, , , , , , , , , ,3145728,242971, , , , , , ,26, , ,2, , ,3, , ,26, ,2048,1, , , , , ,576578,95, , , , , , ,3,235,12,157,95403600,2, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-07-19 12:26:38.585 UTC, , , , , , , , , ,125,3269101,122576,672, ,27,12,448,24,0.05, , , , , , , ,27,7, , ,12,20,14,16, ,88,81, , , , , , , , ,1, , , ,3269101,242971,4, ,242666, , , , ,243538,24985517880,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,243538,1658233538518,,, , , , , , , , , ,3145728,243508,12,12,6,12, , ,121,3,3,3,3, ,3,5, ,121,1, , , , , ,7, ,111899,131,515,3, , , , ,1,110,1,19,205409368,1, , , , , , ,1550, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,2, ,1149,380,13, , , , , , , , , , 
2022-07-19 12:27:38.588 UTC, , , , , , , , , ,1029,3359709,212280,672, ,42,5,3290,10,0.00, , , , , , , ,42,8, , ,5,27,6,17, ,10047,132, , , , , , , , ,1, , , ,3359709,242971,4, ,242666, , , , ,296047,24985218872,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,296047,1658233538518,,, , , , , , , , , ,3145728,296017,15,15,3,15, , ,148,35,35, ,35, ,3,39, ,148,1, , , , , , , ,42513,148,52509,35, , , , , , ,1,28,351987496, , , , , , , ,91087, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,114, ,426, ,89978,503,13,2, , , , , , , , , 
2022-07-19 12:28:38.591 UTC, , , , , , , , , ,1029,3359709,212280,672, ,42, ,12, , , , , , , , , ,42,8, , , ,27,6,17, , , , , , , , , , , ,1, , , ,3359709,242971,4, ,242666, , , , ,296047,24985833272,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,296047,1658233538518,,, , , , , , , , , ,3145728,296017,15,15,13,15, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,352873480, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2022-07-19 12:29:38.595 UTC, , , , , , , , , ,1029,3359709,212280,672, ,42, ,17, , , , , , , , , ,42,8, , , ,27,6,17, , , , , , , , , , , ,1, , , ,3359709,242971,4, ,242666, , , , ,296047,24981073720,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,296047,1658233538518,,, , , , , , , , , ,3145728,296017,18,18,11,18, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,399282488, , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,12, , , , , , , , , , 
